Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	
640	24000	2827	-2.19277108433735	2229	-9.39759036144578	2274	-2.73493975903614	0	0	0	0	0	0	
1280	24019.53125	2828	-2.16867469879518	2227	-9.40963855421687	2271	-2.69879518072289	521	0.473282442748092	-31	-7.95419847328244	-271	4.13740458015267	
1920	24039.0625	2828	-2.16867469879518	2227	-9.40963855421687	2271	-2.69879518072289	-55	-0.137404580152672	9	0.83969465648855	54	-0.82442748091603	
2560	24058.59375	2827	-2.18072289156627	2228	-9.39759036144578	2269	-2.67469879518072	-73	-0.274809160305344	18	1.11450381679389	62	-0.946564885496183	
3200	24078.125	2828	-2.18072289156627	2228	-9.40963855421687	2271	-2.69879518072289	-56	-0.0305343511450382	2	0.854961832061069	64	-0.977099236641221	
3840	24097.65625	2827	-2.14457831325301	2225	-9.39759036144578	2272	-2.71084337349398	-80	0.0305343511450382	-2	1.22137404580153	45	-0.687022900763359	
4480	24117.1875	2827	-2.12048192771084	2223	-9.39759036144578	2274	-2.73493975903614	-109	0.0610687022900763	-4	1.66412213740458	38	-0.580152671755725	
5120	24136.71875	2828	-2.16867469879518	2227	-9.40963855421687	2274	-2.73493975903614	-117	0.0763358778625954	-5	1.78625954198473	33	-0.50381679389313	
5760	24156.25	2828	-2.18072289156627	2228	-9.40963855421687	2273	-2.72289156626506	-133	0.229007633587786	-15	2.03053435114504	38	-0.580152671755725	
6400	24175.78125	2826	-2.21686746987952	2231	-9.3855421686747	2270	-2.68674698795181	-129	0	0	1.96946564885496	37	-0.564885496183206	
7040	24195.3125	2826	-2.19277108433735	2229	-9.3855421686747	2267	-2.65060240963855	-139	-0.0916030534351145	6	2.12213740458015	46	-0.702290076335878	
7680	24214.84375	2830	-2.18072289156627	2228	-9.43373493975904	2268	-2.66265060240964	-145	-0.0763358778625954	5	2.21374045801527	55	-0.83969465648855	
8320	24234.375	2833	-2.19277108433735	2229	-9.46987951807229	2268	-2.66265060240964	-145	0.229007633587786	-15	2.21374045801527	70	-1.06870229007634	
8960	24253.90625	2834	-2.18072289156627	2228	-9.48192771084337	2270	-2.68674698795181	-134	0.534351145038168	-35	2.04580152671756	86	-1.31297709923664	
9600	24273.4375	2830	-2.16867469879518	2227	-9.43373493975904	2269	-2.67469879518072	-119	1.0381679389313	-68	1.81679389312977	97	-1.48091603053435	
10240	24292.96875	2826	-2.16867469879518	2227	-9.3855421686747	2271	-2.69879518072289	-124	1.25190839694656	-82	1.89312977099237	100	-1.52671755725191	
10880	24312.5	2828	-2.16867469879518	2227	-9.40963855421687	2272	-2.71084337349398	-151	1.26717557251908	-83	2.30534351145038	98	-1.49618320610687	
11520	24332.03125	2829	-2.14457831325301	2225	-9.42168674698795	2271	-2.69879518072289	-150	1.32824427480916	-87	2.29007633587786	95	-1.45038167938931	
12160	24351.5625	2830	-2.14457831325301	2225	-9.43373493975904	2272	-2.71084337349398	-159	1.52671755725191	-100	2.42748091603053	94	-1.43511450381679	
12800	24371.09375	2828	-2.13253012048193	2224	-9.40963855421687	2274	-2.73493975903614	-158	1.52671755725191	-100	2.41221374045802	82	-1.25190839694656	
13440	24390.625	2827	-2.1566265060241	2226	-9.39759036144578	2269	-2.67469879518072	-153	1.90839694656489	-125	2.33587786259542	95	-1.45038167938931	
14080	24410.15625	2828	-2.13253012048193	2224	-9.40963855421687	2267	-2.65060240963855	-171	1.26717557251908	-83	2.61068702290076	96	-1.46564885496183	
14720	24429.6875	2831	-2.1566265060241	2226	-9.44578313253012	2268	-2.66265060240964	-187	1.05343511450382	-69	2.85496183206107	108	-1.64885496183206	
15360	24449.21875	2831	-2.18072289156627	2228	-9.44578313253012	2267	-2.65060240963855	-171	1.55725190839695	-102	2.61068702290076	117	-1.78625954198473	
16000	24468.75	2830	-2.19277108433735	2229	-9.43373493975904	2267	-2.65060240963855	-156	1.61832061068702	-106	2.38167938931298	112	-1.70992366412214	
16640	24488.28125	2827	-2.19277108433735	2229	-9.39759036144578	2262	-2.59036144578313	-146	1.45038167938931	-95	2.22900763358779	105	-1.6030534351145	
17280	24507.8125	2828	-2.16867469879518	2227	-9.40963855421687	2266	-2.63855421686747	-158	1.16030534351145	-76	2.41221374045802	120	-1.83206106870229	
17920	24527.34375	2827	-2.16867469879518	2227	-9.39759036144578	2267	-2.65060240963855	-132	1.14503816793893	-75	2.01526717557252	127	-1.93893129770992	
18560	24546.875	2826	-2.18072289156627	2228	-9.3855421686747	2267	-2.65060240963855	-100	1.2824427480916	-84	1.52671755725191	112	-1.70992366412214	
19200	24566.40625	2829	-2.18072289156627	2228	-9.42168674698795	2264	-2.6144578313253	-80	1.08396946564885	-71	1.22137404580153	89	-1.3587786259542	
19840	24585.9375	2831	-2.13253012048193	2224	-9.44578313253012	2265	-2.62650602409639	-95	1.12977099236641	-74	1.45038167938931	81	-1.23664122137405	
20480	24605.46875	2832	-2.10843373493976	2222	-9.45783132530121	2263	-2.60240963855422	-107	1.43511450381679	-94	1.63358778625954	86	-1.31297709923664	
21120	24625	2832	-2.13253012048193	2224	-9.45783132530121	2263	-2.60240963855422	-153	1.49618320610687	-98	2.33587786259542	106	-1.61832061068702	
21760	24644.53125	2831	-2.14457831325301	2225	-9.44578313253012	2265	-2.62650602409639	-169	1.52671755725191	-100	2.58015267175573	111	-1.69465648854962	
22400	24664.0625	2830	-2.18072289156627	2228	-9.43373493975904	2268	-2.66265060240964	-173	1.41984732824427	-93	2.6412213740458	97	-1.48091603053435	
23040	24683.59375	2831	-2.18072289156627	2228	-9.44578313253012	2268	-2.66265060240964	-127	1.52671755725191	-100	1.93893129770992	89	-1.3587786259542	
23680	24703.125	2832	-2.13253012048193	2224	-9.45783132530121	2267	-2.65060240963855	-143	1.77099236641221	-116	2.18320610687023	88	-1.34351145038168	
24320	24722.65625	2833	-2.09638554216868	2221	-9.46987951807229	2264	-2.6144578313253	-135	2.09160305343511	-137	2.06106870229008	90	-1.37404580152672	
24960	24742.1875	2828	-2.12048192771084	2223	-9.40963855421687	2259	-2.55421686746988	-103	2.18320610687023	-143	1.57251908396947	102	-1.55725190839695	
25600	24761.71875	2828	-2.16867469879518	2227	-9.40963855421687	2258	-2.5421686746988	-118	1.63358778625954	-107	1.80152671755725	100	-1.52671755725191	
26240	24781.25	2829	-2.20481927710843	2230	-9.42168674698795	2259	-2.55421686746988	-111	1.2824427480916	-84	1.69465648854962	104	-1.58778625954198	
26880	24800.78125	2831	-2.19277108433735	2229	-9.44578313253012	2261	-2.57831325301205	-113	0.778625954198473	-51	1.72519083969466	105	-1.6030534351145	
27520	24820.3125	2835	-2.18072289156627	2228	-9.49397590361446	2262	-2.59036144578313	-112	0.793893129770992	-52	1.70992366412214	115	-1.75572519083969	
28160	24839.84375	2832	-2.13253012048193	2224	-9.45783132530121	2261	-2.57831325301205	-109	1.0381679389313	-68	1.66412213740458	127	-1.93893129770992	
28800	24859.375	2827	-2.16867469879518	2227	-9.39759036144578	2260	-2.56626506024096	-111	0.961832061068702	-63	1.69465648854962	140	-2.13740458015267	
29440	24878.90625	2829	-2.1566265060241	2226	-9.42168674698795	2259	-2.55421686746988	-79	0.931297709923664	-61	1.20610687022901	122	-1.86259541984733	
30080	24898.4375	2829	-2.14457831325301	2225	-9.42168674698795	2257	-2.53012048192771	-44	0.412213740458015	-27	0.67175572519084	100	-1.52671755725191	
30720	24917.96875	2833	-2.20481927710843	2230	-9.46987951807229	2257	-2.53012048192771	-33	-0.0610687022900763	4	0.50381679389313	99	-1.51145038167939	
31360	24937.5	2831	-2.14457831325301	2225	-9.44578313253012	2261	-2.57831325301205	-40	0.290076335877863	-19	0.610687022900763	102	-1.55725190839695	
32000	24957.03125	2829	-2.12048192771084	2223	-9.42168674698795	2260	-2.56626506024096	-29	0.488549618320611	-32	0.442748091603053	87	-1.32824427480916	
32640	24976.5625	2833	-2.13253012048193	2224	-9.46987951807229	2260	-2.56626506024096	-56	-0.244274809160305	16	0.854961832061069	68	-1.0381679389313	
33280	24996.09375	2829	-2.09638554216868	2221	-9.42168674698795	2260	-2.56626506024096	-60	0.458015267175573	-30	0.916030534351145	77	-1.17557251908397	
33920	25015.625	2827	-2.06024096385542	2218	-9.39759036144578	2261	-2.57831325301205	-67	0.290076335877863	-19	1.02290076335878	57	-0.870229007633588	
34560	25035.15625	2830	-2.09638554216868	2221	-9.43373493975904	2260	-2.56626506024096	-36	-0.534351145038168	35	0.549618320610687	34	-0.519083969465649	
35200	25054.6875	2828	-2.13253012048193	2224	-9.40963855421687	2263	-2.60240963855422	-33	-0.702290076335878	46	0.50381679389313	28	-0.427480916030534	
35840	25074.21875	2832	-2.13253012048193	2224	-9.45783132530121	2263	-2.60240963855422	-43	-1.06870229007634	70	0.656488549618321	29	-0.442748091603053	
36480	25093.75	2835	-2.08433734939759	2220	-9.49397590361446	2266	-2.63855421686747	-72	-0.931297709923664	61	1.09923664122137	25	-0.381679389312977	
37120	25113.28125	2835	-2.03614457831325	2216	-9.49397590361446	2265	-2.62650602409639	-86	-0.442748091603053	29	1.31297709923664	28	-0.427480916030534	
37760	25132.8125	2833	-2.06024096385542	2218	-9.46987951807229	2263	-2.60240963855422	-85	-0.0152671755725191	1	1.29770992366412	27	-0.412213740458015	
38400	25152.34375	2831	-2.09638554216868	2221	-9.44578313253012	2259	-2.55421686746988	-85	0.122137404580153	-8	1.29770992366412	21	-0.320610687022901	
39040	25171.875	2831	-2.10843373493976	2222	-9.44578313253012	2263	-2.60240963855422	-126	0.0763358778625954	-5	1.9236641221374	30	-0.458015267175573	
39680	25191.40625	2829	-2.10843373493976	2222	-9.42168674698795	2264	-2.6144578313253	-118	0.0610687022900763	-4	1.80152671755725	26	-0.396946564885496	
40320	25210.9375	2832	-2.08433734939759	2220	-9.45783132530121	2264	-2.6144578313253	-119	-0.244274809160305	16	1.81679389312977	33	-0.50381679389313	
40960	25230.46875	2831	-2.08433734939759	2220	-9.44578313253012	2262	-2.59036144578313	-132	-0.152671755725191	10	2.01526717557252	18	-0.274809160305344	
41600	25250	2835	-2.10843373493976	2222	-9.49397590361446	2262	-2.59036144578313	-127	-0.442748091603053	29	1.93893129770992	25	-0.381679389312977	
42240	25269.53125	2829	-2.14457831325301	2225	-9.42168674698795	2262	-2.59036144578313	-120	-0.290076335877863	19	1.83206106870229	23	-0.351145038167939	
42880	25289.0625	2828	-2.1566265060241	2226	-9.40963855421687	2258	-2.5421686746988	-118	-0.274809160305344	18	1.80152671755725	36	-0.549618320610687	
43520	25308.59375	2827	-2.19277108433735	2229	-9.39759036144578	2258	-2.5421686746988	-121	-1.02290076335878	67	1.84732824427481	29	-0.442748091603053	
44160	25328.125	2831	-2.19277108433735	2229	-9.44578313253012	2262	-2.59036144578313	-113	-1.45038167938931	95	1.72519083969466	43	-0.656488549618321	
44800	25347.65625	2832	-2.21686746987952	2231	-9.45783132530121	2264	-2.6144578313253	-112	-1.37404580152672	90	1.70992366412214	49	-0.748091603053435	
45440	25367.1875	2832	-2.20481927710843	2230	-9.45783132530121	2264	-2.6144578313253	-98	-1.17557251908397	77	1.49618320610687	58	-0.885496183206107	
46080	25386.71875	2831	-2.18072289156627	2228	-9.44578313253012	2263	-2.60240963855422	-67	-1.02290076335878	67	1.02290076335878	52	-0.793893129770992	
46720	25406.25	2830	-2.1566265060241	2226	-9.43373493975904	2265	-2.62650602409639	-60	-0.549618320610687	36	0.916030534351145	51	-0.778625954198473	
47360	25425.78125	2829	-2.14457831325301	2225	-9.42168674698795	2266	-2.63855421686747	-94	-0.381679389312977	25	1.43511450381679	36	-0.549618320610687	
48000	25445.3125	2828	-2.13253012048193	2224	-9.40963855421687	2265	-2.62650602409639	-92	-0.0916030534351145	6	1.40458015267176	19	-0.290076335877863	
48640	25464.84375	2826	-2.14457831325301	2225	-9.3855421686747	2265	-2.62650602409639	-77	-0.244274809160305	16	1.17557251908397	-1	0.0152671755725191	
49280	25484.375	2836	-2.14457831325301	2225	-9.50602409638554	2263	-2.60240963855422	-66	-0.549618320610687	36	1.00763358778626	-7	0.106870229007634	
49920	25503.90625	2838	-2.12048192771084	2223	-9.53012048192771	2263	-2.60240963855422	-91	0.33587786259542	-22	1.38931297709924	15	-0.229007633587786	
50560	25523.4375	2836	-2.10843373493976	2222	-9.50602409638554	2259	-2.55421686746988	-66	0.732824427480916	-48	1.00763358778626	23	-0.351145038167939	
51200	25542.96875	2833	-2.09638554216868	2221	-9.46987951807229	2263	-2.60240963855422	-81	0.366412213740458	-24	1.23664122137405	47	-0.717557251908397	
51840	25562.5	2830	-2.09638554216868	2221	-9.43373493975904	2263	-2.60240963855422	-63	0.366412213740458	-24	0.961832061068702	47	-0.717557251908397	
52480	25582.03125	2827	-2.09638554216868	2221	-9.39759036144578	2266	-2.63855421686747	-85	0.366412213740458	-24	1.29770992366412	59	-0.900763358778626	
53120	25601.5625	2830	-2.10843373493976	2222	-9.43373493975904	2269	-2.67469879518072	-91	-0.244274809160305	16	1.38931297709924	65	-0.99236641221374	
53760	25621.09375	2830	-2.13253012048193	2224	-9.43373493975904	2268	-2.66265060240964	-95	-0.183206106870229	12	1.45038167938931	59	-0.900763358778626	
54400	25640.625	2830	-2.12048192771084	2223	-9.43373493975904	2265	-2.62650602409639	-114	-0.381679389312977	25	1.74045801526718	55	-0.83969465648855	
55040	25660.15625	2832	-2.13253012048193	2224	-9.45783132530121	2261	-2.57831325301205	-113	-0.458015267175573	30	1.72519083969466	67	-1.02290076335878	
55680	25679.6875	2829	-2.13253012048193	2224	-9.42168674698795	2262	-2.59036144578313	-128	-0.396946564885496	26	1.95419847328244	64	-0.977099236641221	
56320	25699.21875	2829	-2.1566265060241	2226	-9.42168674698795	2263	-2.60240963855422	-113	-0.458015267175573	30	1.72519083969466	52	-0.793893129770992	
56960	25718.75	2831	-2.21686746987952	2231	-9.44578313253012	2264	-2.6144578313253	-119	-0.381679389312977	25	1.81679389312977	35	-0.534351145038168	
57600	25738.28125	2830	-2.1566265060241	2226	-9.43373493975904	2265	-2.62650602409639	-107	-0.366412213740458	24	1.63358778625954	55	-0.83969465648855	
58240	25757.8125	2834	-2.1566265060241	2226	-9.48192771084337	2262	-2.59036144578313	-83	-0.687022900763359	45	1.26717557251908	39	-0.595419847328244	
58880	25777.34375	2834	-2.19277108433735	2229	-9.48192771084337	2264	-2.6144578313253	-78	-0.137404580152672	9	1.19083969465649	51	-0.778625954198473	
59520	25796.875	2834	-2.18072289156627	2228	-9.48192771084337	2266	-2.63855421686747	-99	0.366412213740458	-24	1.51145038167939	62	-0.946564885496183	
60160	25816.40625	2828	-2.1566265060241	2226	-9.40963855421687	2266	-2.63855421686747	-84	1.20610687022901	-79	1.2824427480916	56	-0.854961832061069	
60800	25835.9375	2826	-2.16867469879518	2227	-9.3855421686747	2264	-2.6144578313253	-93	0.519083969465649	-34	1.41984732824427	53	-0.809160305343511	
61440	25855.46875	2827	-2.12048192771084	2223	-9.39759036144578	2264	-2.6144578313253	-110	0.351145038167939	-23	1.6793893129771	36	-0.549618320610687	
62080	25875	2828	-2.12048192771084	2223	-9.40963855421687	2264	-2.6144578313253	-102	-0.137404580152672	9	1.55725190839695	40	-0.610687022900763	
62720	25894.53125	2830	-2.14457831325301	2225	-9.43373493975904	2264	-2.6144578313253	-113	-0.33587786259542	22	1.72519083969466	39	-0.595419847328244	
63360	25914.0625	2831	-2.14457831325301	2225	-9.44578313253012	2265	-2.62650602409639	-120	-0.488549618320611	32	1.83206106870229	52	-0.793893129770992	
64000	25933.59375	2829	-2.1566265060241	2226	-9.42168674698795	2264	-2.6144578313253	-99	-0.366412213740458	24	1.51145038167939	61	-0.931297709923664	
64640	25953.125	2828	-2.16867469879518	2227	-9.40963855421687	2264	-2.6144578313253	-102	-0.213740458015267	14	1.55725190839695	70	-1.06870229007634	
65280	25972.65625	2828	-2.18072289156627	2228	-9.40963855421687	2264	-2.6144578313253	-110	-0.442748091603053	29	1.6793893129771	72	-1.09923664122137	
384	25992.1875	2826	-2.19277108433735	2229	-9.3855421686747	2262	-2.59036144578313	-113	-0.702290076335878	46	1.72519083969466	73	-1.11450381679389	
1024	26011.71875	2828	-2.20481927710843	2230	-9.40963855421687	2262	-2.59036144578313	-112	-0.900763358778626	59	1.70992366412214	80	-1.22137404580153	
1664	26031.25	2829	-2.21686746987952	2231	-9.42168674698795	2263	-2.60240963855422	-94	-1.0381679389313	68	1.43511450381679	66	-1.00763358778626	
2304	26050.78125	2830	-2.2289156626506	2232	-9.43373493975904	2266	-2.63855421686747	-98	-0.916030534351145	60	1.49618320610687	63	-0.961832061068702	
2944	26070.3125	2831	-2.2289156626506	2232	-9.44578313253012	2267	-2.65060240963855	-62	-0.67175572519084	44	0.946564885496183	56	-0.854961832061069	
3584	26089.84375	2831	-2.20481927710843	2230	-9.44578313253012	2270	-2.68674698795181	-33	-0.274809160305344	18	0.50381679389313	50	-0.763358778625954	
4224	26109.375	2830	-2.18072289156627	2228	-9.43373493975904	2271	-2.69879518072289	-20	0.412213740458015	-27	0.305343511450382	37	-0.564885496183206	
4864	26128.90625	2829	-2.14457831325301	2225	-9.42168674698795	2269	-2.67469879518072	-8	0.564885496183206	-37	0.122137404580153	43	-0.656488549618321	
5504	26148.4375	2828	-2.09638554216868	2221	-9.40963855421687	2267	-2.65060240963855	-34	0.763358778625954	-50	0.519083969465649	22	-0.33587786259542	
6144	26167.96875	2828	-2.09638554216868	2221	-9.40963855421687	2267	-2.65060240963855	-57	0.67175572519084	-44	0.870229007633588	17	-0.259541984732824	
6784	26187.5	2830	-2.10843373493976	2222	-9.43373493975904	2267	-2.65060240963855	-66	0.549618320610687	-36	1.00763358778626	18	-0.274809160305344	
7424	26207.03125	2831	-2.10843373493976	2222	-9.44578313253012	2265	-2.62650602409639	-95	0.259541984732824	-17	1.45038167938931	25	-0.381679389312977	
8064	26226.5625	2833	-2.10843373493976	2222	-9.46987951807229	2266	-2.63855421686747	-99	0.50381679389313	-33	1.51145038167939	45	-0.687022900763359	
8704	26246.09375	2829	-2.12048192771084	2223	-9.42168674698795	2267	-2.65060240963855	-94	0.213740458015267	-14	1.43511450381679	68	-1.0381679389313	
9344	26265.625	2831	-2.13253012048193	2224	-9.44578313253012	2266	-2.63855421686747	-97	0.213740458015267	-14	1.48091603053435	83	-1.26717557251908	
9984	26285.15625	2831	-2.12048192771084	2223	-9.44578313253012	2264	-2.6144578313253	-104	0.0152671755725191	-1	1.58778625954198	105	-1.6030534351145	
10624	26304.6875	2832	-2.10843373493976	2222	-9.45783132530121	2264	-2.6144578313253	-103	0.0458015267175573	-3	1.57251908396947	99	-1.51145038167939	
11264	26324.21875	2832	-2.13253012048193	2224	-9.45783132530121	2265	-2.62650602409639	-115	0.274809160305344	-18	1.75572519083969	116	-1.77099236641221	
11904	26343.75	2831	-2.14457831325301	2225	-9.44578313253012	2267	-2.65060240963855	-116	0.473282442748092	-31	1.77099236641221	124	-1.89312977099237	
12544	26363.28125	2831	-2.19277108433735	2229	-9.44578313253012	2268	-2.66265060240964	-112	0.702290076335878	-46	1.70992366412214	116	-1.77099236641221	
13184	26382.8125	2830	-2.16867469879518	2227	-9.43373493975904	2267	-2.65060240963855	-103	0.702290076335878	-46	1.57251908396947	104	-1.58778625954198	
13824	26402.34375	2828	-2.1566265060241	2226	-9.40963855421687	2266	-2.63855421686747	-119	1.20610687022901	-79	1.81679389312977	104	-1.58778625954198	
14464	26421.875	2827	-2.16867469879518	2227	-9.39759036144578	2264	-2.6144578313253	-111	1.06870229007634	-70	1.69465648854962	96	-1.46564885496183	
15104	26441.40625	2828	-2.18072289156627	2228	-9.40963855421687	2266	-2.63855421686747	-96	0.961832061068702	-63	1.46564885496183	87	-1.32824427480916	
15744	26460.9375	2825	-2.18072289156627	2228	-9.37349397590362	2267	-2.65060240963855	-97	0.83969465648855	-55	1.48091603053435	80	-1.22137404580153	
16384	26480.46875	2830	-2.16867469879518	2227	-9.43373493975904	2263	-2.60240963855422	-83	0.549618320610687	-36	1.26717557251908	74	-1.12977099236641	
17024	26500	2833	-2.13253012048193	2224	-9.46987951807229	2260	-2.56626506024096	-85	0.33587786259542	-22	1.29770992366412	60	-0.916030534351145	
17664	26519.53125	2836	-2.14457831325301	2225	-9.50602409638554	2258	-2.5421686746988	-94	0.50381679389313	-33	1.43511450381679	64	-0.977099236641221	
18304	26539.0625	2834	-2.16867469879518	2227	-9.48192771084337	2258	-2.5421686746988	-67	0.625954198473282	-41	1.02290076335878	83	-1.26717557251908	
18944	26558.59375	2831	-2.18072289156627	2228	-9.44578313253012	2261	-2.57831325301205	-73	1.05343511450382	-69	1.11450381679389	100	-1.52671755725191	
19584	26578.125	2828	-2.16867469879518	2227	-9.40963855421687	2263	-2.60240963855422	-62	0.961832061068702	-63	0.946564885496183	117	-1.78625954198473	
20224	26597.65625	2828	-2.20481927710843	2230	-9.40963855421687	2263	-2.60240963855422	-64	0.854961832061069	-56	0.977099236641221	105	-1.6030534351145	
