Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
20864	26617.1875	2827	-2.18072289156627	2228	-9.39759036144578	2265	-2.62650602409639	-42	0.717557251908397	-47	0.641221374045801	107	-1.63358778625954	
21504	26636.71875	2830	-2.14457831325301	2225	-9.43373493975904	2266	-2.63855421686747	-47	0.519083969465649	-34	0.717557251908397	89	-1.3587786259542	
22144	26656.25	2831	-2.13253012048193	2224	-9.44578313253012	2265	-2.62650602409639	-59	0.534351145038168	-35	0.900763358778626	93	-1.41984732824427	
22784	26675.78125	2832	-2.10843373493976	2222	-9.45783132530121	2264	-2.6144578313253	-67	0.885496183206107	-58	1.02290076335878	96	-1.46564885496183	
23424	26695.3125	2833	-2.12048192771084	2223	-9.46987951807229	2261	-2.57831325301205	-62	1.06870229007634	-70	0.946564885496183	84	-1.2824427480916	
24064	26714.84375	2831	-2.13253012048193	2224	-9.44578313253012	2260	-2.56626506024096	-55	1.06870229007634	-70	0.83969465648855	87	-1.32824427480916	
24704	26734.375	2830	-2.09638554216868	2221	-9.43373493975904	2262	-2.59036144578313	-63	0.900763358778626	-59	0.961832061068702	77	-1.17557251908397	
25344	26753.90625	2832	-2.09638554216868	2221	-9.45783132530121	2259	-2.55421686746988	-83	1.16030534351145	-76	1.26717557251908	85	-1.29770992366412	
25984	26773.4375	2833	-2.10843373493976	2222	-9.46987951807229	2261	-2.57831325301205	-93	1.06870229007634	-70	1.41984732824427	81	-1.23664122137405	
26624	26792.96875	2833	-2.10843373493976	2222	-9.46987951807229	2261	-2.57831325301205	-93	0.809160305343511	-53	1.41984732824427	96	-1.46564885496183	
27264	26812.5	2829	-2.09638554216868	2221	-9.42168674698795	2261	-2.57831325301205	-92	0.900763358778626	-59	1.40458015267176	89	-1.3587786259542	
27904	26832.03125	2831	-2.09638554216868	2221	-9.44578313253012	2261	-2.57831325301205	-90	0.702290076335878	-46	1.37404580152672	94	-1.43511450381679	
28544	26851.5625	2830	-2.07228915662651	2219	-9.43373493975904	2262	-2.59036144578313	-111	0.625954198473282	-41	1.69465648854962	91	-1.38931297709924	
29184	26871.09375	2829	-2.08433734939759	2220	-9.42168674698795	2261	-2.57831325301205	-106	0.641221374045801	-42	1.61832061068702	79	-1.20610687022901	
29824	26890.625	2831	-2.09638554216868	2221	-9.44578313253012	2259	-2.55421686746988	-105	0.748091603053435	-49	1.6030534351145	73	-1.11450381679389	
30464	26910.15625	2832	-2.10843373493976	2222	-9.45783132530121	2260	-2.56626506024096	-100	0.610687022900763	-40	1.52671755725191	59	-0.900763358778626	
31104	26929.6875	2830	-2.10843373493976	2222	-9.43373493975904	2261	-2.57831325301205	-106	0.259541984732824	-17	1.61832061068702	54	-0.82442748091603	
31744	26949.21875	2830	-2.10843373493976	2222	-9.43373493975904	2260	-2.56626506024096	-122	0.274809160305344	-18	1.86259541984733	45	-0.687022900763359	
32384	26968.75	2831	-2.13253012048193	2224	-9.44578313253012	2261	-2.57831325301205	-117	0.16793893129771	-11	1.78625954198473	52	-0.793893129770992	
33024	26988.28125	2830	-2.14457831325301	2225	-9.43373493975904	2261	-2.57831325301205	-127	0	0	1.93893129770992	44	-0.67175572519084	
33664	27007.8125	2831	-2.12048192771084	2223	-9.44578313253012	2259	-2.55421686746988	-123	-0.0916030534351145	6	1.87786259541985	35	-0.534351145038168	
34304	27027.34375	2831	-2.10843373493976	2222	-9.44578313253012	2258	-2.5421686746988	-120	-0.0305343511450382	2	1.83206106870229	39	-0.595419847328244	
34944	27046.875	2831	-2.13253012048193	2224	-9.44578313253012	2258	-2.5421686746988	-123	-0.229007633587786	15	1.87786259541985	38	-0.580152671755725	
35584	27066.40625	2830	-2.13253012048193	2224	-9.43373493975904	2260	-2.56626506024096	-125	-0.244274809160305	16	1.90839694656489	36	-0.549618320610687	
36224	27085.9375	2826	-2.1566265060241	2226	-9.3855421686747	2261	-2.57831325301205	-131	-0.0305343511450382	2	2	29	-0.442748091603053	
36864	27105.46875	2828	-2.14457831325301	2225	-9.40963855421687	2260	-2.56626506024096	-115	-0.854961832061069	56	1.75572519083969	24	-0.366412213740458	
37504	27125	2831	-2.14457831325301	2225	-9.44578313253012	2258	-2.5421686746988	-113	-0.900763358778626	59	1.72519083969466	24	-0.366412213740458	
38144	27144.53125	2834	-2.1566265060241	2226	-9.48192771084337	2258	-2.5421686746988	-106	-0.885496183206107	58	1.61832061068702	18	-0.274809160305344	
38784	27164.0625	2834	-2.18072289156627	2228	-9.48192771084337	2260	-2.56626506024096	-104	-0.351145038167939	23	1.58778625954198	37	-0.564885496183206	
39424	27183.59375	2829	-2.13253012048193	2224	-9.42168674698795	2261	-2.57831325301205	-88	-0.0152671755725191	1	1.34351145038168	32	-0.488549618320611	
40064	27203.125	2828	-2.14457831325301	2225	-9.40963855421687	2260	-2.56626506024096	-90	-0.152671755725191	10	1.37404580152672	30	-0.458015267175573	
40704	27222.65625	2830	-2.1566265060241	2226	-9.43373493975904	2260	-2.56626506024096	-111	-0.534351145038168	35	1.69465648854962	12	-0.183206106870229	
41344	27242.1875	2832	-2.14457831325301	2225	-9.45783132530121	2262	-2.59036144578313	-89	-0.854961832061069	56	1.3587786259542	9	-0.137404580152672	
41984	27261.71875	2833	-2.1566265060241	2226	-9.46987951807229	2261	-2.57831325301205	-90	-0.564885496183206	37	1.37404580152672	24	-0.366412213740458	
42624	27281.25	2834	-2.16867469879518	2227	-9.48192771084337	2261	-2.57831325301205	-68	-0.50381679389313	33	1.0381679389313	36	-0.549618320610687	
43264	27300.78125	2831	-2.14457831325301	2225	-9.44578313253012	2261	-2.57831325301205	-84	0	0	1.2824427480916	56	-0.854961832061069	
43904	27320.3125	2831	-2.13253012048193	2224	-9.44578313253012	2262	-2.59036144578313	-84	0	0	1.2824427480916	50	-0.763358778625954	
44544	27339.84375	2829	-2.16867469879518	2227	-9.42168674698795	2262	-2.59036144578313	-61	-0.137404580152672	9	0.931297709923664	51	-0.778625954198473	
45184	27359.375	2829	-2.18072289156627	2228	-9.42168674698795	2262	-2.59036144578313	-52	-0.396946564885496	26	0.793893129770992	64	-0.977099236641221	
45824	27378.90625	2827	-2.19277108433735	2229	-9.39759036144578	2261	-2.57831325301205	-56	-0.396946564885496	26	0.854961832061069	56	-0.854961832061069	
46464	27398.4375	2828	-2.13253012048193	2224	-9.40963855421687	2260	-2.56626506024096	-68	-0.778625954198473	51	1.0381679389313	63	-0.961832061068702	
47104	27417.96875	2832	-2.13253012048193	2224	-9.45783132530121	2261	-2.57831325301205	-89	-0.687022900763359	45	1.3587786259542	50	-0.763358778625954	
47744	27437.5	2836	-2.12048192771084	2223	-9.50602409638554	2263	-2.60240963855422	-76	-0.442748091603053	29	1.16030534351145	53	-0.809160305343511	
48384	27457.03125	2835	-2.14457831325301	2225	-9.49397590361446	2265	-2.62650602409639	-63	-0.122137404580153	8	0.961832061068702	62	-0.946564885496183	
49024	27476.5625	2831	-2.10843373493976	2222	-9.44578313253012	2263	-2.60240963855422	-60	0.0916030534351145	-6	0.916030534351145	72	-1.09923664122137	
49664	27496.09375	2830	-2.13253012048193	2224	-9.43373493975904	2264	-2.6144578313253	-71	0.0152671755725191	-1	1.08396946564885	73	-1.11450381679389	
50304	27515.625	2830	-2.1566265060241	2226	-9.43373493975904	2263	-2.60240963855422	-75	0.0305343511450382	-2	1.14503816793893	62	-0.946564885496183	
50944	27535.15625	2830	-2.16867469879518	2227	-9.43373493975904	2261	-2.57831325301205	-73	-0.137404580152672	9	1.11450381679389	80	-1.22137404580153	
51584	27554.6875	2830	-2.13253012048193	2224	-9.43373493975904	2260	-2.56626506024096	-73	-0.259541984732824	17	1.11450381679389	76	-1.16030534351145	
52224	27574.21875	2831	-2.12048192771084	2223	-9.44578313253012	2262	-2.59036144578313	-86	-0.259541984732824	17	1.31297709923664	80	-1.22137404580153	
52864	27593.75	2830	-2.14457831325301	2225	-9.43373493975904	2266	-2.63855421686747	-90	-0.213740458015267	14	1.37404580152672	85	-1.29770992366412	
53504	27613.28125	2831	-2.1566265060241	2226	-9.44578313253012	2267	-2.65060240963855	-81	-0.381679389312977	25	1.23664122137405	82	-1.25190839694656	
54144	27632.8125	2831	-2.14457831325301	2225	-9.44578313253012	2264	-2.6144578313253	-79	-0.229007633587786	15	1.20610687022901	65	-0.99236641221374	
54784	27652.34375	2829	-2.12048192771084	2223	-9.42168674698795	2262	-2.59036144578313	-71	-0.0610687022900763	4	1.08396946564885	62	-0.946564885496183	
55424	27671.875	2831	-2.12048192771084	2223	-9.44578313253012	2259	-2.55421686746988	-52	0.0458015267175573	-3	0.793893129770992	56	-0.854961832061069	
56064	27691.40625	2833	-2.13253012048193	2224	-9.46987951807229	2258	-2.5421686746988	-65	-0.16793893129771	11	0.99236641221374	69	-1.05343511450382	
56704	27710.9375	2829	-2.12048192771084	2223	-9.42168674698795	2261	-2.57831325301205	-82	0.0763358778625954	-5	1.25190839694656	72	-1.09923664122137	
57344	27730.46875	2828	-2.12048192771084	2223	-9.40963855421687	2264	-2.6144578313253	-80	-0.0305343511450382	2	1.22137404580153	70	-1.06870229007634	
57984	27750	2827	-2.14457831325301	2225	-9.39759036144578	2264	-2.6144578313253	-76	-0.473282442748092	31	1.16030534351145	66	-1.00763358778626	
58624	27769.53125	2830	-2.13253012048193	2224	-9.43373493975904	2264	-2.6144578313253	-86	-0.732824427480916	48	1.31297709923664	32	-0.488549618320611	
59264	27789.0625	2834	-2.14457831325301	2225	-9.48192771084337	2263	-2.60240963855422	-83	-1.02290076335878	67	1.26717557251908	27	-0.412213740458015	
59904	27808.59375	2832	-2.14457831325301	2225	-9.45783132530121	2264	-2.6144578313253	-94	-0.854961832061069	56	1.43511450381679	38	-0.580152671755725	
60544	27828.125	2833	-2.1566265060241	2226	-9.46987951807229	2265	-2.62650602409639	-85	-0.244274809160305	16	1.29770992366412	54	-0.82442748091603	
61184	27847.65625	2830	-2.16867469879518	2227	-9.43373493975904	2263	-2.60240963855422	-72	-0.106870229007634	7	1.09923664122137	54	-0.82442748091603	
61824	27867.1875	2828	-2.1566265060241	2226	-9.40963855421687	2264	-2.6144578313253	-75	-0.259541984732824	17	1.14503816793893	51	-0.778625954198473	
62464	27886.71875	2826	-2.18072289156627	2228	-9.3855421686747	2265	-2.62650602409639	-72	-0.748091603053435	49	1.09923664122137	45	-0.687022900763359	
63104	27906.25	2829	-2.14457831325301	2225	-9.42168674698795	2264	-2.6144578313253	-79	-0.687022900763359	45	1.20610687022901	28	-0.427480916030534	
63744	27925.78125	2831	-2.13253012048193	2224	-9.44578313253012	2263	-2.60240963855422	-83	-0.656488549618321	43	1.26717557251908	39	-0.595419847328244	
64384	27945.3125	2833	-2.14457831325301	2225	-9.46987951807229	2264	-2.6144578313253	-79	-0.33587786259542	22	1.20610687022901	38	-0.580152671755725	
65024	27964.84375	2829	-2.1566265060241	2226	-9.42168674698795	2266	-2.63855421686747	-68	-0.122137404580153	8	1.0381679389313	39	-0.595419847328244	
128	27984.375	2829	-2.1566265060241	2226	-9.42168674698795	2265	-2.62650602409639	-79	-0.259541984732824	17	1.20610687022901	46	-0.702290076335878	
768	28003.90625	2831	-2.1566265060241	2226	-9.44578313253012	2265	-2.62650602409639	-78	-0.290076335877863	19	1.19083969465649	38	-0.580152671755725	
1408	28023.4375	2829	-2.13253012048193	2224	-9.42168674698795	2262	-2.59036144578313	-73	-0.229007633587786	15	1.11450381679389	32	-0.488549618320611	
2048	28042.96875	2831	-2.14457831325301	2225	-9.44578313253012	2264	-2.6144578313253	-75	-0.213740458015267	14	1.14503816793893	32	-0.488549618320611	
2688	28062.5	2831	-2.14457831325301	2225	-9.44578313253012	2265	-2.62650602409639	-78	-0.396946564885496	26	1.19083969465649	37	-0.564885496183206	
3328	28082.03125	2832	-2.1566265060241	2226	-9.45783132530121	2266	-2.63855421686747	-88	-0.0763358778625954	5	1.34351145038168	53	-0.809160305343511	
3968	28101.5625	2831	-2.16867469879518	2227	-9.44578313253012	2265	-2.62650602409639	-74	0.0458015267175573	-3	1.12977099236641	51	-0.778625954198473	
4608	28121.09375	2827	-2.16867469879518	2227	-9.39759036144578	2266	-2.63855421686747	-83	0.152671755725191	-10	1.26717557251908	57	-0.870229007633588	
5248	28140.625	2828	-2.16867469879518	2227	-9.40963855421687	2267	-2.65060240963855	-78	0.106870229007634	-7	1.19083969465649	68	-1.0381679389313	
5888	28160.15625	2828	-2.16867469879518	2227	-9.40963855421687	2265	-2.62650602409639	-82	-0.213740458015267	14	1.25190839694656	52	-0.793893129770992	
6528	28179.6875	2828	-2.1566265060241	2226	-9.40963855421687	2264	-2.6144578313253	-97	-0.122137404580153	8	1.48091603053435	44	-0.67175572519084	
7168	28199.21875	2831	-2.14457831325301	2225	-9.44578313253012	2264	-2.6144578313253	-76	0	0	1.16030534351145	46	-0.702290076335878	
7808	28218.75	2832	-2.1566265060241	2226	-9.45783132530121	2265	-2.62650602409639	-93	-0.122137404580153	8	1.41984732824427	57	-0.870229007633588	
8448	28238.28125	2830	-2.18072289156627	2228	-9.43373493975904	2266	-2.63855421686747	-72	0.137404580152672	-9	1.09923664122137	62	-0.946564885496183	
9088	28257.8125	2831	-2.18072289156627	2228	-9.44578313253012	2264	-2.6144578313253	-83	0.0610687022900763	-4	1.26717557251908	62	-0.946564885496183	
9728	28277.34375	2830	-2.1566265060241	2226	-9.43373493975904	2263	-2.60240963855422	-85	0.106870229007634	-7	1.29770992366412	50	-0.763358778625954	
10368	28296.875	2828	-2.14457831325301	2225	-9.40963855421687	2263	-2.60240963855422	-82	0.290076335877863	-19	1.25190839694656	51	-0.778625954198473	
11008	28316.40625	2832	-2.19277108433735	2229	-9.45783132530121	2264	-2.6144578313253	-85	-0.122137404580153	8	1.29770992366412	55	-0.83969465648855	
11648	28335.9375	2833	-2.19277108433735	2229	-9.46987951807229	2264	-2.6144578313253	-66	0.0763358778625954	-5	1.00763358778626	64	-0.977099236641221	
12288	28355.46875	2829	-2.19277108433735	2229	-9.42168674698795	2267	-2.65060240963855	-77	0.549618320610687	-36	1.17557251908397	79	-1.20610687022901	
12928	28375	2825	-2.18072289156627	2228	-9.37349397590362	2266	-2.63855421686747	-78	0.366412213740458	-24	1.19083969465649	79	-1.20610687022901	
13568	28394.53125	2825	-2.1566265060241	2226	-9.37349397590362	2265	-2.62650602409639	-88	0.0458015267175573	-3	1.34351145038168	55	-0.83969465648855	
14208	28414.0625	2830	-2.16867469879518	2227	-9.43373493975904	2263	-2.60240963855422	-70	-0.442748091603053	29	1.06870229007634	39	-0.595419847328244	
14848	28433.59375	2830	-2.16867469879518	2227	-9.43373493975904	2265	-2.62650602409639	-84	-0.50381679389313	33	1.2824427480916	37	-0.564885496183206	
15488	28453.125	2832	-2.16867469879518	2227	-9.45783132530121	2265	-2.62650602409639	-79	-0.0305343511450382	2	1.20610687022901	54	-0.82442748091603	
16128	28472.65625	2831	-2.16867469879518	2227	-9.44578313253012	2264	-2.6144578313253	-69	-0.229007633587786	15	1.05343511450382	62	-0.946564885496183	
16768	28492.1875	2833	-2.16867469879518	2227	-9.46987951807229	2265	-2.62650602409639	-79	0	0	1.20610687022901	64	-0.977099236641221	
17408	28511.71875	2832	-2.16867469879518	2227	-9.45783132530121	2265	-2.62650602409639	-78	0.16793893129771	-11	1.19083969465649	79	-1.20610687022901	
18048	28531.25	2831	-2.16867469879518	2227	-9.44578313253012	2266	-2.63855421686747	-79	0.152671755725191	-10	1.20610687022901	72	-1.09923664122137	
18688	28550.78125	2830	-2.18072289156627	2228	-9.43373493975904	2266	-2.63855421686747	-80	0.366412213740458	-24	1.22137404580153	76	-1.16030534351145	
19328	28570.3125	2829	-2.1566265060241	2226	-9.42168674698795	2265	-2.62650602409639	-82	0.702290076335878	-46	1.25190839694656	95	-1.45038167938931	
19968	28589.84375	2828	-2.16867469879518	2227	-9.40963855421687	2266	-2.63855421686747	-89	0.595419847328244	-39	1.3587786259542	99	-1.51145038167939	
20608	28609.375	2827	-2.20481927710843	2230	-9.39759036144578	2265	-2.62650602409639	-83	0.412213740458015	-27	1.26717557251908	80	-1.22137404580153	
21248	28628.90625	2829	-2.18072289156627	2228	-9.42168674698795	2265	-2.62650602409639	-73	0.0458015267175573	-3	1.11450381679389	86	-1.31297709923664	
21888	28648.4375	2828	-2.14457831325301	2225	-9.40963855421687	2265	-2.62650602409639	-85	-0.0458015267175573	3	1.29770992366412	79	-1.20610687022901	
22528	28667.96875	2826	-2.12048192771084	2223	-9.3855421686747	2268	-2.66265060240964	-82	-0.687022900763359	45	1.25190839694656	77	-1.17557251908397	
23168	28687.5	2831	-2.16867469879518	2227	-9.44578313253012	2271	-2.69879518072289	-38	-1.58778625954198	104	0.580152671755725	84	-1.2824427480916	
23808	28707.03125	2832	-2.18072289156627	2228	-9.45783132530121	2270	-2.68674698795181	3	-1.63358778625954	107	-0.0458015267175573	111	-1.69465648854962	
24448	28726.5625	2824	-2.24096385542169	2233	-9.36144578313253	2270	-2.68674698795181	27	-1.17557251908397	77	-0.412213740458015	139	-2.12213740458015	
25088	28746.09375	2817	-2.34939759036145	2242	-9.27710843373494	2271	-2.69879518072289	65	-1.98473282442748	130	-0.99236641221374	183	-2.79389312977099	
25728	28765.625	2824	-2.40963855421687	2247	-9.36144578313253	2267	-2.65060240963855	129	-2.83969465648855	186	-1.96946564885496	189	-2.88549618320611	
26368	28785.15625	2828	-2.31325301204819	2239	-9.40963855421687	2264	-2.6144578313253	128	-3.14503816793893	206	-1.95419847328244	220	-3.3587786259542	
27008	28804.6875	2821	-2.18072289156627	2228	-9.32530120481928	2272	-2.71084337349398	52	-3.19083969465649	209	-0.793893129770992	308	-4.70229007633588	
27648	28824.21875	2809	-2.19277108433735	2229	-9.18072289156627	2283	-2.8433734939759	-54	-4.03053435114504	264	0.82442748091603	360	-5.49618320610687	
28288	28843.75	2807	-2.20481927710843	2230	-9.1566265060241	2293	-2.96385542168675	-100	-7.19083969465649	471	1.52671755725191	421	-6.42748091603053	
28928	28863.28125	2817	-2.09638554216868	2221	-9.27710843373494	2289	-2.91566265060241	-102	-10.030534351145	657	1.55725190839695	400	-6.10687022900763	
29568	28882.8125	2828	-1.93975903614458	2208	-9.40963855421687	2282	-2.83132530120482	-137	-11.175572519084	732	2.09160305343511	403	-6.15267175572519	
30208	28902.34375	2837	-1.80722891566265	2197	-9.51807228915663	2285	-2.86746987951807	-210	-10.9923664122137	720	3.20610687022901	434	-6.62595419847328	
30848	28921.875	2835	-1.74698795180723	2192	-9.49397590361446	2284	-2.85542168674699	-311	-10.6259541984733	696	4.74809160305344	476	-7.26717557251908	
31488	28941.40625	2835	-1.57831325301205	2178	-9.49397590361446	2279	-2.79518072289157	-408	-10.6564885496183	698	6.22900763358779	519	-7.9236641221374	
32128	28960.9375	2839	-1.79518072289157	2196	-9.54216867469879	2287	-2.89156626506024	-484	-9.09923664122137	596	7.38931297709924	571	-8.7175572519084	
32768	28980.46875	2844	-1.83132530120482	2199	-9.60240963855422	2269	-2.67469879518072	-244	-9.93893129770992	651	3.72519083969466	497	-7.58778625954198	
33408	29000	2853	-1.81927710843374	2198	-9.71084337349398	2270	-2.68674698795181	-82	-8.45801526717557	554	1.25190839694656	512	-7.81679389312977	
34048	29019.53125	2856	-1.75903614457831	2193	-9.74698795180723	2278	-2.78313253012048	-40	-6.59541984732824	432	0.610687022900763	562	-8.58015267175572	
34688	29039.0625	2850	-1.71084337349398	2189	-9.67469879518072	2279	-2.79518072289157	-66	-4.45801526717557	292	1.00763358778626	646	-9.86259541984733	
35328	29058.59375	2838	-1.56626506024096	2177	-9.53012048192771	2273	-2.72289156626506	-111	-2.68702290076336	176	1.69465648854962	713	-10.8854961832061	
35968	29078.125	2821	-1.46987951807229	2169	-9.32530120481928	2278	-2.78313253012048	-261	0.0458015267175573	-3	3.98473282442748	771	-11.7709923664122	
36608	29097.65625	2799	-1.44578313253012	2167	-9.06024096385542	2293	-2.96385542168675	-414	1.3587786259542	-89	6.3206106870229	762	-11.6335877862595	
37248	29117.1875	2791	-1.5421686746988	2175	-8.96385542168675	2312	-3.19277108433735	-523	0.778625954198473	-51	7.98473282442748	641	-9.78625954198473	
37888	29136.71875	2809	-1.6144578313253	2181	-9.18072289156627	2325	-3.34939759036145	-447	-2.73282442748092	179	6.82442748091603	422	-6.44274809160305	
38528	29156.25	2845	-1.63855421686747	2183	-9.6144578313253	2322	-3.31325301204819	-290	-4.16793893129771	273	4.42748091603053	217	-3.31297709923664	
39168	29175.78125	2871	-1.7710843373494	2194	-9.92771084337349	2320	-3.28915662650602	-93	-3.09923664122137	203	1.41984732824427	113	-1.72519083969466	
39808	29195.3125	2866	-1.65060240963855	2184	-9.86746987951807	2304	-3.09638554216868	109	0.0458015267175573	-3	-1.66412213740458	51	-0.778625954198473	
40448	29214.84375	2842	-1.43373493975904	2166	-9.57831325301205	2296	-3	165	4.29007633587786	-281	-2.51908396946565	2	-0.0305343511450382	
41088	29234.375	2821	-1.3855421686747	2162	-9.32530120481928	2300	-3.04819277108434	49	7.48091603053435	-490	-0.748091603053435	-38	0.580152671755725	
41728	29253.90625	2814	-1.51807228915663	2173	-9.24096385542169	2300	-3.04819277108434	-107	8.56488549618321	-561	1.63358778625954	-161	2.45801526717557	
42368	29273.4375	2800	-1.65060240963855	2184	-9.07228915662651	2292	-2.95180722891566	-240	9.37404580152672	-614	3.66412213740458	-338	5.16030534351145	
43008	29292.96875	2797	-1.73493975903614	2191	-9.03614457831325	2316	-3.24096385542169	-406	9.09923664122137	-596	6.19847328244275	-485	7.40458015267176	
43648	29312.5	2813	-1.79518072289157	2196	-9.2289156626506	2325	-3.34939759036145	-448	6.15267175572519	-403	6.83969465648855	-516	7.87786259541985	
44288	29332.03125	2825	-1.73493975903614	2191	-9.37349397590362	2318	-3.26506024096386	-461	3.20610687022901	-210	7.0381679389313	-495	7.55725190839695	
